"","b1","b2","b3","b4","b5","b6.1","b6.2","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24.1","b24.2","b25","b26","b27","b28","b29","b30","b31","b32"
"107",2,0,0,1,0,0,2,2,1,3,0,1,1,1,0,1,2,2,0,1,2,1,1,1,1,0,1,1,1,4,0,1,1,0
"108",2,1,0,1,1,0,1,2,1,3,0,1,1,0,1,1,1,2,1,0,2,1,1,1,1,1,1,0,1,3,2,1,0,0
"109",2,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,2,0,0,2,1,1,1,0,0,1,1,1,0,1,0,0,0
"110",2,1,0,1,1,0,2,2,1,3,2,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,0
"111",2,1,0,1,0,1,2,3,1,3,2,0,1,0,1,1,2,2,1,1,2,1,0,1,0,1,1,0,1,4,2,1,1,0
"112",2,1,0,1,0,0,2,3,1,3,2,1,1,1,1,1,2,2,0,1,2,1,1,0,0,0,0,1,1,1,2,1,1,0
"113",1,1,1,0,0,0,2,2,1,3,0,1,1,1,0,1,2,2,1,1,1,0,1,0,0,0,1,1,1,4,1,1,1,0
"114",2,0,1,0,1,1,1,3,1,3,1,1,0,1,1,1,2,2,1,1,1,1,0,1,1,1,1,0,1,3,3,1,1,0
"115",2,1,1,1,1,0,2,4,1,3,1,1,1,1,1,1,2,2,1,0,2,1,0,1,1,1,1,1,1,1,2,1,1,0
"116",0,1,0,0,0,1,2,1,1,3,0,1,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0
"117",2,1,1,1,1,0,2,2,0,3,0,1,1,1,0,0,2,2,1,1,2,1,1,1,0,0,1,1,1,0,3,0,1,0
"118",2,1,0,0,1,1,2,4,1,3,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,1,1,1,3,2,1,1,1
"119",1,1,0,0,0,0,2,1,1,3,1,0,1,1,1,1,0,2,1,0,2,1,1,0,0,0,1,1,1,1,2,1,0,1
"120",2,1,0,0,0,0,1,1,1,3,0,0,1,1,0,1,0,2,0,0,2,1,1,1,0,0,1,0,1,2,2,0,1,0
"121",1,1,0,1,1,0,2,2,1,3,0,1,1,1,0,1,2,1,0,0,2,1,1,1,1,1,1,0,1,2,0,0,1,0
"122",0,0,1,1,1,0,2,1,1,3,0,1,1,1,1,0,2,2,0,0,2,1,0,0,0,0,1,0,1,1,1,1,0,0
"123",0,0,0,1,0,0,0,2,0,0,1,0,1,1,0,1,2,1,1,0,2,0,1,1,1,1,1,1,1,1,3,1,1,0
"124",1,1,0,1,0,0,2,4,1,3,2,1,1,1,1,1,2,2,0,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1
"125",1,1,0,0,1,0,1,2,1,0,0,0,1,0,0,1,2,0,1,0,1,1,1,0,1,1,1,0,1,2,1,1,1,1
"126",2,1,0,0,1,1,2,1,1,3,2,1,1,1,0,1,2,1,0,0,2,1,1,0,0,0,1,1,1,2,2,1,1,1
"127",0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
"128",1,1,1,0,0,1,2,2,1,3,2,1,1,1,0,1,1,2,1,1,2,1,1,1,0,0,1,1,1,3,2,1,1,0
"129",0,1,1,1,0,1,2,4,1,3,2,1,1,1,1,0,2,2,1,0,1,1,1,1,0,1,1,1,1,2,2,1,1,0
"130",0,1,1,1,0,0,2,2,1,3,1,1,1,0,1,1,2,2,1,0,2,0,0,1,0,0,0,0,1,4,2,1,1,0
"131",2,1,1,1,1,0,1,2,1,3,1,0,1,1,0,1,2,2,1,1,2,1,0,1,1,1,0,0,1,3,2,1,1,0
"132",2,1,1,1,1,0,2,4,1,3,0,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1
"133",2,1,1,1,0,0,0,3,1,3,1,1,1,1,1,1,2,2,0,0,1,1,1,0,0,0,1,1,1,3,3,1,1,1
"134",0,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,2,0,0,1,1,0,0,1,0,0,1,1,2,2,1,1,1
"135",0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,2,1,0,2,1,1,0,0,0,1,0,1,0,2,0,1,0
"136",2,0,0,1,1,0,0,4,1,3,0,1,1,0,0,1,2,2,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,0
"137",0,0,0,0,1,0,0,2,1,3,0,0,1,0,0,1,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1
"138",2,1,1,1,0,0,2,2,1,3,1,1,1,1,1,1,1,2,0,1,1,1,1,1,0,0,1,1,1,3,2,1,1,0
"139",0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,1,2,2,0,0,2,1,1,1,0,0,0,1,1,0,2,1,1,1
"140",2,1,0,1,1,0,1,2,1,3,2,1,1,0,1,0,2,2,1,1,2,1,0,0,0,0,1,1,1,1,2,1,1,0
"141",2,1,1,1,1,1,2,4,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1
"142",2,1,1,0,1,1,2,2,1,3,0,1,1,0,1,1,2,2,0,1,2,1,1,0,0,0,0,1,1,2,3,1,1,0
